Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,Rendimiento
1.77,171,47,157,20,31,8,2,10961
1.77,175,47,177,20,40,8,2,27252
1.77,197,54,181,99,35.5,1.2,2,34860
1.77,197,54,171,99,38,1.2,2,26040
1.77,188,54,171,99,38,1.2,0.2,26908
1.77,210,78,170,8,35,8,2.7,26600
1.77,273,76,260,30,37,8,2.7,36790
1.77,258,76,225,30,37,8,2.7,11204
1.33,171,47,157,20,31,8,2,13143
1.33,175,47,177,20,40,8,2,19050
1.33,197,54,181,99,35.5,1.2,2,23360
1.33,197,54,171,99,38,1.2,2,19320
1.33,188,54,171,99,38,1.2,0.2,15766
1.33,210,78,170,8,35,8,2.7,23200
1.33,273,76,260,30,37,8,2.7,28290
1.33,258,76,225,30,37,8,2.7,7885
1.47,171,47,157,20,31,8,2,10464
1.47,175,47,177,20,40,8,2,21890
1.47,197,54,181,99,35.5,1.2,2,29400
1.47,197,54,171,99,38,1.2,2,20160
1.47,188,54,171,99,38,1.2,0.2,18940
1.47,210,78,170,8,35,8,2.7,18400
1.47,273,76,260,30,37,8,2.7,25420
1.47,258,76,225,30,37,8,2.7,8715
1.61,171,47,157,20,31,8,2,10595
1.61,175,47,177,20,40,8,2,26940
1.61,197,54,181,99,35.5,1.2,2,36520
1.61,197,54,171,99,38,1.2,2,25200
1.61,188,54,171,99,38,1.2,0.2,24211
1.61,210,78,170,8,35,8,2.7,30905
1.61,273,76,260,30,37,8,2.7,30985
1.61,258,76,225,30,37,8,2.7,4980
2.37,171,47,157,20,31,8,2,18281
2.37,175,47,177,20,40,8,2,36465
2.37,197,54,181,99,35.5,1.2,2,47460
2.37,197,54,171,99,38,1.2,2,40740
2.37,188,54,171,99,38,1.2,0.2,34232
2.37,210,78,170,8,35,8,2.7,34000
2.37,273,76,260,30,37,8,2.7,41000
2.37,258,76,225,30,37,8,2.7,10240
1.85,171,47,157,20,31,8,2,14381
1.85,175,47,177,20,40,8,2,33487
