Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,B,Rendimiento
1.94,175,47,177,20,40,8,2,4,26745
1.94,197,54,181,99,35.5,1.2,2,3,27720
1.94,197,54,171,99,38,1.2,2,3,27110
1.94,188,54,171,99,38,1.2,0.2,3,20011
1.94,210,78,170,8,35,8,2.7,3,30800
1.94,273,76,260,30,37,8,2.7,3,32462
1.94,258,76,225,30,37,8,2.7,3,10556
1.28,171,47,157,20,31,8,2,4,12901
1.28,175,47,177,20,40,8,2,4,15592
1.28,197,54,181,99,35.5,1.2,2,3,19740
1.28,197,54,171,99,38,1.2,2,3,13890
1.28,188,54,171,99,38,1.2,0.2,3,15109
1.28,210,78,170,8,35,8,2.7,3,21600
1.28,273,76,260,30,37,8,2.7,3,23921
1.28,258,76,225,30,37,8,2.7,3,9130
1.46,171,47,157,20,31,8,2,4,10467
1.46,175,47,177,20,40,8,2,4,24362
1.46,197,54,181,99,35.5,1.2,2,3,30240
1.46,197,54,171,99,38,1.2,2,3,20210
1.46,188,54,171,99,38,1.2,0.2,3,17475
1.46,210,78,170,8,35,8,2.7,3,16800
1.46,273,76,260,30,37,8,2.7,3,26337
1.46,258,76,225,30,37,8,2.7,3,10556
1.54,171,47,157,20,31,8,2,4,11067
1.54,175,47,177,20,40,8,2,4,20039
1.54,197,54,181,99,35.5,1.2,2,3,25200
1.54,197,54,171,99,38,1.2,2,3,15390
1.54,188,54,171,99,38,1.2,0.2,3,15570
1.54,210,78,170,8,35,8,2.7,3,21200
1.54,273,76,260,30,37,8,2.7,3,26888
1.54,258,76,225,30,37,8,2.7,3,9960
0.9,171,47,157,20,31,8,2,4,4835
0.9,175,47,177,20,40,8,2,4,11587.67
0.9,197,54,181,99,35.5,1.2,2,3,13020
0.9,197,54,171,99,38,1.2,2,3,12180
0.9,188,54,171,99,38,1.2,0.2,3,12528.1
0.9,210,78,170,8,35,8,2.7,3,14400
0.9,273,76,260,30,37,8,2.7,3,14936.5
0.9,258,76,225,30,37,8,2.7,3,8300
1.28,171,47,157,20,31,8,2,4,11302
1.28,175,47,177,20,40,8,2,4,17677
1.28,197,54,181,99,35.5,1.2,2,3,17640
1.28,197,54,171,99,38,1.2,2,3,14280
1.28,188,54,171,99,38,1.2,0.2,3,15909
1.28,210,78,170,8,35,8,2.7,3,16400
1.28,273,76,260,30,37,8,2.7,3,28596
1.28,258,76,225,30,37,8,2.7,3,9545
1.71,171,47,157,20,31,8,2,4,10662
1.71,175,47,177,20,40,8,2,4,22991
1.71,197,54,181,99,35.5,1.2,2,3,29400
1.71,197,54,171,99,38,1.2,2,3,24360
1.71,188,54,171,99,38,1.2,0.2,3,23432
1.71,210,78,170,8,35,8,2.7,3,22000
1.71,273,76,260,30,37,8,2.7,3,33120
1.71,258,76,225,30,37,8,2.7,3,10790
1.15,171,47,157,20,31,8,2,4,8744
1.15,175,47,177,20,40,8,2,4,11737
1.15,197,54,181,99,35.5,1.2,2,3,17000
1.15,197,54,171,99,38,1.2,2,3,13020
1.15,188,54,171,99,38,1.2,0.2,3,16423
1.15,210,78,170,8,35,8,2.7,3,17200
1.15,273,76,260,30,37,8,2.7,3,25548
1.15,258,76,225,30,37,8,2.7,3,6225
1.77,171,47,157,20,31,8,2,4,10961
1.77,175,47,177,20,40,8,2,4,27252
1.77,197,54,181,99,35.5,1.2,2,3,34860
1.77,197,54,171,99,38,1.2,2,3,26040
1.77,188,54,171,99,38,1.2,0.2,3,26908
1.77,210,78,170,8,35,8,2.7,3,26600
1.77,273,76,260,30,37,8,2.7,3,36790
1.77,258,76,225,30,37,8,2.7,3,11204
1.33,171,47,157,20,31,8,2,4,13143
1.33,175,47,177,20,40,8,2,4,19050
1.33,197,54,181,99,35.5,1.2,2,3,23360
1.33,197,54,171,99,38,1.2,2,3,19320
1.33,188,54,171,99,38,1.2,0.2,3,15766
1.33,210,78,170,8,35,8,2.7,3,23200
1.33,273,76,260,30,37,8,2.7,3,28290
1.33,258,76,225,30,37,8,2.7,3,7885
1.47,171,47,157,20,31,8,2,4,10464
1.47,175,47,177,20,40,8,2,4,21890
1.47,197,54,181,99,35.5,1.2,2,3,29400
1.47,197,54,171,99,38,1.2,2,3,20160
1.47,188,54,171,99,38,1.2,0.2,3,18940
1.47,210,78,170,8,35,8,2.7,3,18400
1.47,273,76,260,30,37,8,2.7,3,25420
1.47,258,76,225,30,37,8,2.7,3,8715
1.61,171,47,157,20,31,8,2,4,10595
1.61,175,47,177,20,40,8,2,4,26940
1.61,197,54,181,99,35.5,1.2,2,3,36520
1.61,197,54,171,99,38,1.2,2,3,25200
1.61,188,54,171,99,38,1.2,0.2,3,24211
1.61,210,78,170,8,35,8,2.7,3,30905
1.61,273,76,260,30,37,8,2.7,3,30985
1.61,258,76,225,30,37,8,2.7,3,4980
2.37,171,47,157,20,31,8,2,4,18281
2.37,175,47,177,20,40,8,2,4,36465
2.37,197,54,181,99,35.5,1.2,2,3,47460
2.37,197,54,171,99,38,1.2,2,3,40740
2.37,188,54,171,99,38,1.2,0.2,3,34232
2.37,210,78,170,8,35,8,2.7,3,34000
2.37,273,76,260,30,37,8,2.7,3,41000
2.37,258,76,225,30,37,8,2.7,3,10240
1.85,171,47,157,20,31,8,2,4,14381
1.85,175,47,177,20,40,8,2,4,33487
1.85,197,54,181,99,35.5,1.2,2,3,37330
1.85,197,54,171,99,38,1.2,2,3,28980
1.85,188,54,171,99,38,1.2,0.2,3,29861
1.85,210,78,170,8,35,8,2.7,3,37350
1.85,273,76,260,30,37,8,2.7,3,36481
1.85,258,76,225,30,37,8,2.7,3,5394
2.79,171,47,157,20,31,8,2,4,24997
2.79,175,47,177,20,40,8,2,4,53490
2.79,197,54,181,99,35.5,1.2,2,3,64150
2.79,197,54,171,99,38,1.2,2,3,42420
2.79,188,54,171,99,38,1.2,0.2,3,37366
2.79,210,78,170,8,35,8,2.7,3,38000
2.79,273,76,260,30,37,8,2.7,3,63960
2.79,258,76,225,30,37,8,2.7,3,12730
1.94,171,47,157,20,31,8,2,4,12573
1.94,175,47,177,20,40,8,2,4,35415
1.94,197,54,181,99,35.5,1.2,2,3,44520
1.94,197,54,171,99,38,1.2,2,3,31920
1.94,188,54,171,99,38,1.2,0.2,3,27796
1.94,210,78,170,8,35,8,2.7,3,34445
1.94,273,76,260,30,37,8,2.7,3,42230
