Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,B,Rendimiento
1.94,188,54,171,99,38,1.2,0.2,3,d
1.94,210,78,170,8,35,8,2.7,3,d
1.94,197,54,181,99,35.5,1.2,2,3,e
1.94,273,76,260,30,37,8,2.7,3,e
1.93,171,47,157,20,31,8,2,4,b
1.93,258,76,225,30,37,8,2.7,3,b
1.93,188,54,171,99,38,1.2,0.2,3,c
1.93,175,47,177,20,40,8,2,4,d
1.93,197,54,181,99,35.5,1.2,2,3,d
1.93,197,54,171,99,38,1.2,2,3,d
1.93,210,78,170,8,35,8,2.7,3,d
1.93,273,76,260,30,37,8,2.7,3,d
1.85,258,76,225,30,37,8,2.7,3,a
1.85,171,47,157,20,31,8,2,4,b
1.85,175,47,177,20,40,8,2,4,d
1.85,197,54,171,99,38,1.2,2,3,d
1.85,188,54,171,99,38,1.2,0.2,3,d
1.85,197,54,181,99,35.5,1.2,2,3,e
1.85,210,78,170,8,35,8,2.7,3,e
1.85,273,76,260,30,37,8,2.7,3,e
1.77,171,47,157,20,31,8,2,4,b
1.77,258,76,225,30,37,8,2.7,3,b
1.77,197,54,171,99,38,1.2,2,3,c
1.77,188,54,171,99,38,1.2,0.2,3,c
1.77,210,78,170,8,35,8,2.7,3,c
1.77,175,47,177,20,40,8,2,4,d
1.77,197,54,181,99,35.5,1.2,2,3,d
1.77,273,76,260,30,37,8,2.7,3,e
1.74,171,47,157,20,31,8,2,4,b
1.74,188,54,171,99,38,1.2,0.2,3,b
1.74,258,76,225,30,37,8,2.7,3,b
1.74,175,47,177,20,40,8,2,4,c
1.74,197,54,181,99,35.5,1.2,2,3,c
1.74,197,54,171,99,38,1.2,2,3,c
1.74,210,78,170,8,35,8,2.7,3,c
1.74,273,76,260,30,37,8,2.7,3,d
1.71,171,47,157,20,31,8,2,4,b
1.71,258,76,225,30,37,8,2.7,3,b
1.71,175,47,177,20,40,8,2,4,c
1.71,197,54,171,99,38,1.2,2,3,c
1.71,188,54,171,99,38,1.2,0.2,3,c
1.71,210,78,170,8,35,8,2.7,3,c
1.71,197,54,181,99,35.5,1.2,2,3,d
1.71,273,76,260,30,37,8,2.7,3,d
1.69,258,76,225,30,37,8,2.7,3,a
1.69,171,47,157,20,31,8,2,4,b
1.69,258,76,225,30,37,8,2.7,3,b
1.69,171,47,157,20,31,8,2,4,b
1.69,197,54,171,99,38,1.2,2,3,b
1.69,188,54,171,99,38,1.2,0.2,3,c
1.69,175,47,177,20,40,8,2,4,c
1.69,188,54,171,99,38,1.2,0.2,3,c
1.69,175,47,177,20,40,8,2,4,d
1.69,197,54,181,99,35.5,1.2,2,3,d
1.69,197,54,171,99,38,1.2,2,3,d
1.69,210,78,170,8,35,8,2.7,3,d
1.69,273,76,260,30,37,8,2.7,3,d
1.69,197,54,181,99,35.5,1.2,2,3,d
1.69,210,78,170,8,35,8,2.7,3,d
1.69,273,76,260,30,37,8,2.7,3,d
1.61,258,76,225,30,37,8,2.7,3,a
1.61,171,47,157,20,31,8,2,4,b
1.61,175,47,177,20,40,8,2,4,c
1.61,197,54,171,99,38,1.2,2,3,c
1.61,188,54,171,99,38,1.2,0.2,3,c
1.61,210,78,170,8,35,8,2.7,3,d
1.61,273,76,260,30,37,8,2.7,3,d
1.61,197,54,181,99,35.5,1.2,2,3,e
1.59,171,47,157,20,31,8,2,4,a
1.59,175,47,177,20,40,8,2,4,a
1.59,258,76,225,30,37,8,2.7,3,a
1.59,197,54,181,99,35.5,1.2,2,3,b
1.59,188,54,171,99,38,1.2,0.2,3,b
1.59,197,54,171,99,38,1.2,2,3,c
1.59,210,78,170,8,35,8,2.7,3,c
1.59,273,76,260,30,37,8,2.7,3,c
1.58,171,47,157,20,31,8,2,4,b
1.58,258,76,225,30,37,8,2.7,3,b
1.58,197,54,181,99,35.5,1.2,2,3,c
1.58,197,54,171,99,38,1.2,2,3,c
1.58,188,54,171,99,38,1.2,0.2,3,c
1.58,210,78,170,8,35,8,2.7,3,c
1.58,175,47,177,20,40,8,2,4,d
1.58,273,76,260,30,37,8,2.7,3,e
1.57,258,76,225,30,37,8,2.7,3,a
1.57,171,47,157,20,31,8,2,4,b
1.57,197,54,181,99,35.5,1.2,2,3,b
1.57,188,54,171,99,38,1.2,0.2,3,b
1.57,175,47,177,20,40,8,2,4,c
1.57,197,54,171,99,38,1.2,2,3,c
1.57,210,78,170,8,35,8,2.7,3,c
1.57,273,76,260,30,37,8,2.7,3,c
1.54,171,47,157,20,31,8,2,4,b
1.54,197,54,171,99,38,1.2,2,3,b
1.54,188,54,171,99,38,1.2,0.2,3,b
1.54,258,76,225,30,37,8,2.7,3,b
1.54,175,47,177,20,40,8,2,4,c
1.54,197,54,181,99,35.5,1.2,2,3,c
1.54,210,78,170,8,35,8,2.7,3,c
1.54,273,76,260,30,37,8,2.7,3,c
1.47,258,76,225,30,37,8,2.7,3,a
1.47,171,47,157,20,31,8,2,4,b
1.47,175,47,177,20,40,8,2,4,c
1.47,197,54,171,99,38,1.2,2,3,c
1.47,188,54,171,99,38,1.2,0.2,3,c
1.47,210,78,170,8,35,8,2.7,3,c
1.47,273,76,260,30,37,8,2.7,3,c
1.47,197,54,181,99,35.5,1.2,2,3,d
1.46,171,47,157,20,31,8,2,4,b
1.46,188,54,171,99,38,1.2,0.2,3,b
1.46,210,78,170,8,35,8,2.7,3,b
1.46,258,76,225,30,37,8,2.7,3,b
1.46,175,47,177,20,40,8,2,4,c
1.46,197,54,171,99,38,1.2,2,3,c
1.46,273,76,260,30,37,8,2.7,3,c
1.46,197,54,181,99,35.5,1.2,2,3,d
1.33,258,76,225,30,37,8,2.7,3,a
1.33,171,47,157,20,31,8,2,4,b
1.33,188,54,171,99,38,1.2,0.2,3,b
1.33,175,47,177,20,40,8,2,4,c
1.33,197,54,181,99,35.5,1.2,2,3,c
1.33,197,54,171,99,38,1.2,2,3,c
1.33,210,78,170,8,35,8,2.7,3,c
1.33,273,76,260,30,37,8,2.7,3,d
1.28,171,47,157,20,31,8,2,4,b
1.28,175,47,177,20,40,8,2,4,b
1.28,197,54,171,99,38,1.2,2,3,b
